,Rk,Player,Age,Team,Pos,GP,GS,W,L,T/O,GA,Shots,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,GAA/A,GPS,G,A,PTS,PIM,Awards
22,23,Robin Lehner,27.0,NYI,G,46,43,25,13,5,93,1323,1230,0.93,2.13,6,2615:49,26,0.605,4,78.0,26.2,2.27,10.2,0,1,1,0,ASnhl-4Jennings-1Vezina-3
23,24,Jonathan Quick,33.0,LAK,G,46,46,16,23,7,149,1329,1180,0.888,3.38,2,2647:34,19,0.413,11,124.0,-29.2,3.6,4.3,0,2,2,6,
24,25,Tuukka Rask,31.0,BOS,G,46,45,27,13,5,109,1245,1136,0.912,2.48,4,2635:09,24,0.533,5,97.0,3.2,2.64,7.3,0,2,2,4,
25,26,David Rittich,26.0,CGY,G,45,42,27,9,5,109,1228,1119,0.911,2.61,1,2503:20,26,0.619,8,98.0,1.7,2.78,7.0,0,0,0,4,
26,27,Thomas Greiss,33.0,NYI,G,43,39,23,14,2,87,1185,1098,0.927,2.28,5,2293:42,25,0.641,7,81.0,19.8,2.41,8.7,0,1,1,4,Jennings-1
27,28,Roberto Luongo,39.0,FLA,G,43,40,18,16,5,122,1205,1083,0.899,3.12,1,2346:38,20,0.5,7,112.0,-13.4,3.32,5.3,0,1,1,0,Byng-42
28,29,Mike Smith,36.0,CGY,G,42,40,23,16,2,109,1069,960,0.898,2.72,2,2400:19,20,0.5,9,113.0,-12.7,2.9,4.6,0,3,3,2,
29,30,Anton Khudobin,32.0,DAL,G,41,37,16,17,5,95,1232,1137,0.923,2.57,2,2219:30,23,0.622,3,86.0,16.0,2.73,8.6,0,0,0,2,
30,31,Keith Kinkaid,29.0,NJD,G,41,38,15,18,6,129,1188,1059,0.891,3.36,3,2301:58,15,0.395,11,120.0,-21.9,3.6,4.3,0,0,0,0,
31,32,Jaroslav Halák,33.0,BOS,G,40,37,22,11,4,90,1158,1068,0.922,2.34,5,2308:07,22,0.595,4,86.0,14.4,2.5,8.0,0,4,4,0,
32,33,Petr Mrázek,26.0,CAR,G,40,40,23,14,3,95,1104,1009,0.914,2.39,4,2386:51,23,0.575,4,95.0,4.5,2.54,6.6,0,1,1,6,
33,34,Corey Crawford,34.0,CHI,G,39,39,14,18,5,108,1176,1068,0.908,2.93,2,2212:51,17,0.436,5,102.0,-2.0,3.12,6.3,0,4,4,0,
34,35,Philipp Grubauer,27.0,COL,G,37,33,18,9,5,89,1071,982,0.917,2.64,3,2020:44,20,0.606,5,92.0,7.5,2.82,6.8,0,0,0,0,
35,36,Linus Ullmark,25.0,BUF,G,37,34,15,14,5,109,1146,1037,0.905,3.11,2,2102:06,18,0.529,6,106.0,-5.7,3.31,5.8,0,1,1,0,
36,37,Casey DeSmith,27.0,PIT,G,36,30,15,11,5,89,1060,971,0.916,2.75,3,1943:33,18,0.6,2,93.0,6.5,2.93,6.6,0,0,0,2,
37,38,James Reimer,30.0,FLA,G,36,29,13,12,5,93,929,836,0.9,3.09,0,1805:11,10,0.345,6,111.0,-9.3,3.29,4.2,0,0,0,0,
38,39,Anders Nilsson,28.0,2TM,G,36,34,14,19,1,101,1098,997,0.908,2.97,2,2039:48,14,0.412,6,102.0,-2.0,3.15,5.9,0,1,1,0,
39,39,Anders Nilsson,28.0,VAN,G,12,12,3,8,1,37,353,316,0.895,3.09,0,717:56,4,0.333,2,116.0,-5.2,3.26,1.4,0,0,0,0,
40,39,Anders Nilsson,28.0,OTT,G,24,22,11,11,0,64,745,681,0.914,2.9,2,1321:52,10,0.455,4,95.0,3.1,3.09,4.5,0,1,1,0,
41,40,Jonathan Bernier,30.0,DET,G,35,30,9,18,5,98,1025,927,0.904,3.16,1,1859:54,13,0.433,5,106.0,-5.6,3.39,5.1,0,0,0,0,
42,41,Cam Talbot,31.0,2TM,G,35,32,11,17,3,108,997,889,0.892,3.4,1,1905:16,9,0.281,10,120.0,-18.1,3.62,3.6,0,1,1,0,
43,41,Cam Talbot,31.0,EDM,G,31,29,10,15,3,95,888,793,0.893,3.36,1,1694:34,9,0.31,9,119.0,-15.0,3.58,3.4,0,1,1,0,
44,41,Cam Talbot,31.0,PHI,G,4,3,1,2,0,13,109,96,0.881,3.7,0,210:42,0,0.0,1,132.0,-3.2,3.99,0.3,0,0,0,0,
45,42,Alexandar Georgiev,22.0,NYR,G,33,30,14,13,4,91,1057,966,0.914,2.91,2,1874:10,15,0.5,3,96.0,4.3,3.11,6.3,0,2,2,2,
46,43,Curtis McElhinney,35.0,CAR,G,33,33,20,11,2,85,968,883,0.912,2.58,2,1977:31,17,0.515,6,97.0,2.2,2.76,5.6,0,0,0,0,
47,44,Cam Ward,34.0,CHI,G,33,29,16,12,4,115,1113,998,0.897,3.67,0,1882:03,15,0.517,5,115.0,-14.7,3.92,4.6,0,1,1,4,
48,45,Jordan Binnington,25.0,STL,G,32,30,24,5,1,59,807,748,0.927,1.89,5,1876:25,20,0.667,1,81.0,13.7,2.01,6.0,0,0,0,0,ASnhl-9AR-1Hart-10Calder-2Vezina-5
49,46,Jack Campbell,27.0,LAK,G,31,25,10,14,1,61,845,784,0.928,2.3,2,1592:46,16,0.64,3,80.0,15.2,2.45,6.3,0,1,1,0,
50,47,Carter Hart,20.0,PHI,G,31,30,16,13,1,81,976,895,0.917,2.83,0,1716:55,14,0.467,4,92.0,7.0,3.01,6.2,0,0,0,0,Calder-9
51,48,Juuse Saros,23.0,NSH,G,31,27,17,10,2,74,870,796,0.915,2.62,3,1696:13,14,0.519,6,94.0,4.4,2.79,5.3,0,0,0,0,
