Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%,-9999
751,Gemel Smith,25,TBL,C,3,15,25,37.5,-6.3,13,19,40.6,2.0,9.1,93.3,102.4,30.8,69.2,9:10,7:30,1,0,-0.6,1,100.0,smithge02
752,Givani Smith,21,DET,RW,21,113,132,46.1,0.2,93,102,47.7,2.2,4.5,93.8,98.2,47.2,52.8,9:41,8:21,2,6,-1.1,28,78.6,smithgi01
753,Reilly Smith,28,VEG,RW,71,1031,899,53.4,-1.5,769,693,52.6,-3.0,10.2,91.0,101.2,56.8,43.2,17:55,14:05,58,41,8.2,266,63.5,smithre01
754,Zack Smith,31,CHI,C,50,406,487,45.5,-4.1,284,370,43.4,-5.9,7.9,94.4,102.3,41.5,58.5,11:47,10:21,21,14,-6.6,76,56.6,smithza01
755,Vladimír Sobotka,32,BUF,C,16,155,195,44.3,-4.4,117,147,44.3,-3.8,9.8,94.3,104.1,39.8,60.2,14:16,12:36,3,3,-2.1,32,71.9,sobotvl01
756,Carl Söderberg,34,ARI,C,70,795,921,46.3,-2.6,611,693,46.9,-1.8,8.3,93.9,102.2,46.0,54.0,15:54,12:33,28,24,-5.3,219,61.6,soderca01
757,Marcus Sorensen,27,SJS,RW,66,673,711,48.6,-1.9,487,532,47.8,-2.6,7.4,90.1,97.5,45.8,54.2,13:51,11:47,28,18,-4.9,124,62.9,sorenma01
758,Carson Soucy,25,MIN,D,55,633,711,47.1,-3.6,487,524,48.2,-2.8,11.0,94.2,105.1,43.2,56.8,15:38,14:15,17,16,0.6,112,54.5,soucyca01
759,Jason Spezza,36,TOR,C,58,519,506,50.6,-1.2,385,385,50.0,-1.3,9.5,90.8,100.4,45.3,54.7,10:50,9:28,20,33,0.3,132,55.3,spezzja01
760,Daniel Sprong,22,ANA,RW,8,118,91,56.5,7.6,96,69,58.2,9.0,6.6,88.2,94.8,41.9,58.1,14:05,11:19,1,0,0.6,31,54.8,spronda01
761,Jared Spurgeon,30,MIN,D,62,1103,1006,52.3,3.9,818,763,51.7,2.7,9.7,90.2,99.8,49.2,50.8,22:34,17:25,10,23,10.3,234,47.9,spurgja01
762,Eric Staal,35,MIN,C,66,871,891,49.4,-0.6,635,677,48.4,-2.4,11.9,88.2,100.1,55.7,44.3,17:07,13:59,25,46,-0.5,232,48.7,staaler01
763,Jordan Staal,31,CAR,C,68,994,791,55.7,2.1,747,614,54.9,1.9,8.2,91.6,99.8,46.6,53.4,17:30,13:58,30,41,5.8,202,61.9,staaljo01
764,Marc Staal,33,NYR,D,52,654,857,43.3,-5.4,513,640,44.5,-5.0,8.8,93.4,102.1,47.1,52.9,17:39,14:49,19,34,-5.2,87,52.9,staalma01
765,Steven Stamkos,29,TBL,C,57,838,781,51.8,-0.8,626,608,50.7,-1.6,13.4,89.6,103.0,57.6,42.4,18:25,14:28,24,33,6.5,319,55.2,stamkst01
766,Paul Stastny,34,VEG,C,71,1049,810,56.4,2.6,789,600,56.8,2.8,8.0,90.2,98.2,52.4,47.6,17:08,13:43,41,18,15.6,200,68.0,stastpa01
767,Troy Stecher,25,VAN,D,69,975,1028,48.7,0.4,738,759,49.3,0.3,8.4,93.7,102.2,39.3,60.7,15:21,14:34,16,25,-2.6,177,48.6,stechtr01
768,Sam Steel,21,ANA,C,65,772,810,48.8,1.2,590,641,47.9,-0.1,6.8,91.9,98.7,57.5,42.5,15:33,13:14,25,37,-8.7,168,50.6,steelsa01
769,Alexander Steen,35,STL,C,55,537,569,48.6,-3.2,397,414,49.0,-2.6,11.0,90.9,101.9,47.7,52.3,14:02,11:18,16,12,1.2,115,61.7,steenal01
770,Kevin Stenlund,23,CBJ,C,32,329,358,47.9,1.0,242,256,48.6,-0.2,6.8,93.6,100.4,51.3,48.7,13:59,11:49,6,9,1.4,100,57.0,stenlke01
771,Derek Stepan,29,ARI,C,70,934,954,49.5,1.7,700,734,48.8,0.8,6.9,92.4,99.3,46.8,53.2,17:39,13:44,38,28,-3.5,258,61.2,stepade01
772,Mitchell Stephens,22,TBL,C,38,334,292,53.4,1.2,256,233,52.4,1.0,7.3,87.9,95.2,43.5,56.5,10:47,9:26,6,4,2.2,82,52.4,stephmi01
773,Chandler Stephenson,25,TOT,C,65,806,676,54.4,0.1,629,501,55.7,1.5,10.3,93.6,103.9,51.8,48.2,14:19,12:21,37,22,10.9,,,stephch02
773,Chandler Stephenson,25,VEG,C,41,596,440,57.5,1.6,468,329,58.7,3.0,11.3,92.8,104.0,58.0,42.0,15:47,13:38,24,17,13.1,101,54.5,stephch02
773,Chandler Stephenson,25,WSH,C,24,210,236,47.1,-4.7,161,172,48.3,-3.5,6.9,95.2,102.1,38.9,61.1,11:50,10:10,13,5,-2.1,32,56.3,stephch02
774,Chris Stewart,32,PHI,RW,16,67,128,34.4,-18.2,51,97,34.5,-16.9,10.8,86.1,96.9,50.0,50.0,7:47,7:36,3,1,-4.7,12,41.7,stewach02
775,Riley Stillman,21,FLA,D,34,485,539,47.4,-3.9,362,399,47.6,-3.4,8.6,90.9,99.5,47.1,52.9,19:07,16:39,13,28,-5.9,83,47.0,stillri01
776,Mark Stone,27,VEG,RW,65,1139,839,57.6,5.3,888,628,58.6,6.5,9.6,89.9,99.5,54.2,45.8,19:24,14:57,78,38,24.1,276,61.2,stonema01
